r_number,lat,lng,mid_ma
2666,46,16.25,66.85
2070,48.5,16.3833,148.55
452,48.9,16.8167,148.55
3118,44.1833,17.7167,151.15
640,44.6833,18.0833,49.95
3207,49.03,18.09,169.3
453,49.5833,18.1167,148.55
1600,29.75,18.1333,31
1143,46.1667,18.25,142.4
1144,46.1667,18.25,132.4
1145,46.1667,18.25,106.75
3117,43.75,18.3,151.15
512,43.2,18.3333,154.7
3205,39.8667,18.3833,6.65
687,40,18.4333,26.25
660,49.1333,18.45,57.6
3304,49.75,18.5667,148.55
513,42.9333,18.6333,157.3
659,49.2333,18.6667,57.6
661,49.2333,18.6667,63.8
3935,49.2333,18.6667,74.8
514,42.9167,18.7,168.8
1151,42.5,18.75,154.7
515,42.9167,19.1667,145.95
511,42.6167,19.4333,154.25
3489,50.85,20.2,154.7
523,44.6667,20.4167,148.55
747,49.3833,20.4333,57.6
630,50.8167,20.4667,154.7
3227,50.4667,20.8,14.9
632,50.0167,20.9833,154.7
522,43.1167,21.2833,148.55
631,50.0667,21.5167,154.7
519,43.9,21.5333,148.55
516,44.4,21.9167,148.55
520,43.875,21.95,148.55
517,44.0167,22.2667,148.55
518,43.8167,22.3833,148.55
521,42.9167,22.5833,148.55
1625,43.5833,23.25,14.9
1096,47.25,23.2833,31
2822,38.9167,23.4167,151.15
1624,43.5,23.5,14.9
3282,35.5833,23.6,9.45
2168,49.6667,23.75,151.15
3281,35.0333,24.75,8.45
1091,45.5,25.1667,145.95
3076,45.5,25.1667,154.7
2167,48.0833,25.3333,154.7
726,41.8167,26.7,35.95
2447,26.4333,27.3583,57.6
727,41.6667,27.5,35.95
2483,45.2667,28.4667,154.25
219,44.3667,28.5333,157.3
1701,44.3333,28.6667,160.4
648,36.3833,29.8333,9.45
2193,25.4667,30.05,63.8
758,37.6667,30.8333,14.9
3457,37.1667,31.1,13.8
3456,37.3,31.1167,17.1
3660,29.9833,31.1333,44.55
2566,37.45,31.25,13.8
2568,36.9667,31.45,17.1
2567,36.7167,31.6167,16.75
3455,36.8167,31.6833,17.1
866,35.0833,33.1667,9.45
3396,27.6167,33.3667,13.8
2597,36.8,33.4667,18.2
3930,27.9333,33.5,0.05
685,27.3,33.5833,13.8
3931,27.65,33.5833,0.05
2636,44.55,33.7333,142.4
3514,44.65,33.8667,142.4
3397,26.7333,33.9,13.8
4081,26.33,34.02,0.05
3443,44.4333,34.1333,145.95
3398,26.1167,34.1833,12.7
3516,44.85,34.2,142.4
3515,45.0167,34.2333,136.35
4082,25.47,34.29,0.45
4083,25.47,34.29,0.45
681,25.95,34.3,17.1
4289,36.54,34.3,17.1
2921,44.8333,34.5,136.35
719,31.3167,34.6167,9.45
1981,31.3167,34.6167,14.9
1982,25.5,34.65,17.1
720,31.3833,34.8667,14.9
3231,28.1667,34.9,9.45
2015,44.8167,34.9167,161.7
675,37.25,35,18.2
722,32.3333,35,9.45
1983,24.8,35.0167,17.1
723,33,35.1,9.45
4259,28.1,35.1,14.9
2843,38.0889,35.2056,63.8
2016,44.9333,35.2333,161.7
3805,27.6667,35.5,0.45
2899,-9.8667,39.1667,119
2901,-9.8667,39.1667,132
3001,-9.8667,39.1667,132
3352,-4,39.7,0.05
2017,43.9833,39.9,160.4
3802,15.15,40,0.05
3353,-3.2667,40.1,0.05
677,39.75,40.5,17.1
1163,15.35,41.6667,8.45
1161,16.6667,41.8333,8.45
3964,0.35,42.5333,0.05
1162,16.9333,42.55,8.45
1972,42.7167,43.0167,131.15
2018,43.2,43.1167,160.4
3968,12.0667,43.4,0.05
2019,42.9167,44.1667,160.4
784,35.4667,44.4333,42.9
3967,-12.8,45.15,0.05
2079,-12.8333,45.1667,11.3
3963,2.0667,45.3667,0.05
3806,-9.4222,46.4472,1.3
4343,34.21,46.7,58.8
2349,33.4167,47.9667,51.9
1534,14.0833,48.8333,18.2
1535,14.0833,48.8333,19.5
980,26.3181,50.1306,13.8
3332,34.6403,50.7125,21.7
2708,31.5097,52.7333,25.55
3988,26.5333,53.9667,0.4
3965,-4.3167,55.7333,0.05
3989,26.9833,56.2167,0.05
655,27.3167,57.1167,18.2
3807,-20.3333,57.5,0.45
654,26.5333,57.5833,18.2
2335,38,57.6667,127.2
656,26.4722,57.9083,21.7
495,33.25,58.0833,165.9
653,26.0167,61.0083,18.2
2357,38.4167,67.1333,160.4
3544,22.4167,69,0.05
4156,10.58,78.56,106.75
3028,25.2,91.25,57.6
2032,10.75,92.4167,13.8
2033,10.75,92.4167,8.45
2029,12,93,13.8
2031,12,93,8.45
536,31.5833,95.5,154.25
3498,3.25,97.1667,154.25
2821,-6.9,107.4,21.7
3213,-8.1167,111.0167,19.5
3938,-24.05,113.4,0.05
4284,3.48,113.51,21.7
3937,-21.8,114.1167,0.05
4005,4.0333,114.9167,22.5
3940,-29.2667,114.9333,0.05
3533,-32,115.5167,0.05
2689,1.3333,116.8333,31
3212,-0.4667,117.1167,17.3
4147,-0.58,117.12,9.45
2695,3.25,117.5833,3.95
822,9.275,117.9806,14.15
823,9.3,118.0833,14.15
2688,0.8667,118.8833,19.5
2134,-4.4667,120.1722,13.8
3269,22.6333,120.2333,2.15
879,10.6667,122.3167,14.9
880,10.6833,122.55,8.45
874,10,122.9167,8.45
872,10.3333,123.75,14.9
873,10.25,123.75,8.45
884,10.3333,123.8333,25.55
876,9.8333,124.1667,8.45
877,10.4167,124.3667,12.7
875,11.25,124.4,12.7
3953,-8.1667,124.5333,0.45
3954,-8.1667,124.5333,0.05
3365,8.5,124.55,2.2
878,11.8333,125,13.8
3812,24.8333,125.1667,1.7
3933,26.0833,127.6833,1.7
3932,26.3914,127.7308,1.7
3454,27.0333,128.4333,1.3
3450,27.3667,128.5833,1.3
3451,27.3667,128.5833,1.3
3452,27.75,128.9667,1.3
3453,27.75,128.9667,1.3
779,-1.2,129.7667,14.15
3934,28.3,129.9667,0.45
780,-0.8833,130.6167,14.15
1251,32.5,130.75,160.4
3808,25.45,131.1667,3.1
3809,25.45,131.1667,0.05
1252,33.5,133,160.4
2026,34.6667,138.1667,14.9
2048,37.8333,140.75,148.55
646,13.45,144.6667,2.65
717,13.3,144.6667,14.15
3237,-6.0833,147.5833,0.05
3236,-6.3167,147.8,0.05
2076,7.3333,151.75,13.8
2077,7.3333,151.75,8.45
4097,-23.51,152.22,0.05
4096,-23.3,152.5,57.6
4095,-23.26,152.55,0.05
2078,6.8333,158.1667,8.45
2034,-9.1333,160.3333,4.45
2147,-22.05,166.0833,3.95
3976,-20.4167,166.1333,0.05
3955,-13.1333,166.55,0.05
3956,-13.25,166.6167,0.45
3958,-15.5667,167.0167,0.05
3959,-16,167.1667,0.05
3974,-20.8833,167.2167,0.05
3975,-20.8833,167.2167,0.05
3961,-16.1667,167.3667,0.05
3979,-22.55,167.4167,0.05
3960,-16.3,167.6833,0.05
4009,-21.5333,167.8833,0.05
4010,-21.45,167.9833,1.3
3155,-17.9333,177.3333,21.7
3156,-17.9333,177.3333,17.3
3157,-17.9833,177.6,14.9
3905,-29.2167,177.8333,2.15
