occurrence_no,lng,lat,mid_ma
222978,36.375,3.925,1.6845
222980,36.375,3.925,1.6845
223005,36.379002,3.909,1.6845
223007,36.379002,3.909,1.6845
223009,36.379002,3.909,1.6845
223020,36.417,4.183,1.6845
223022,36.417,4.183,1.6845
223024,36.417,4.183,1.6845
223167,36.271,4.317,1.6845
223169,36.271,4.317,1.6845
223171,36.271,4.317,1.6845
223769,36.031399,5.0844,2.197
223787,36.022202,5.1231,2.197
223987,36.0308,5.1172,2.197
225448,36.431702,-1.5756,1.29985
225469,36.431099,-1.575,1.29985
225509,36.4375,-1.5708,1.29985
225534,36.431099,-1.5756,1.29985
225573,36.4314,-1.5758,1.29985
226306,35.362499,-2.9903,1.2935
226914,34.617001,0.166,14.895
226968,34.619999,0.15,14.895
227157,34.612,0.133,14.895
227183,34.617001,0.166,14.895
227204,34.617001,0.166,14.895
227415,40.541698,10.625,0.39635
227440,40.466702,10.9,0.39635
227851,31,1.5,3.9605
228031,27.75,-26,1.29985
228387,31,1.5,7.604
228391,31,1.5,7.604
228714,31,1.5,7.604
228721,31,1.5,7.604
228805,30.5,1,8.4705
228835,31,1.5,7.604
228945,34.833302,-2.3333,1.294
247313,18.666668,16.333332,7.604
247314,18.666668,16.333332,7.604
247315,18.666668,16.333332,7.604
248336,-79.800003,9.35,9.433
248586,-101.116669,26.116667,77.05
248587,-101.116669,26.116667,77.05
248600,-101.416664,25.466667,77.05
248606,-101.383331,25.516666,77.05
248613,-101.400276,25.5,77.05
248614,-101.400276,25.5,77.05
248623,-106.427223,47.675835,68.3
255616,-74.300003,40.299999,77.05
255617,-74.300003,40.299999,77.05
255618,-74.300003,40.299999,77.05
255619,-74.300003,40.299999,77.05
255620,-74.300003,40.299999,77.05
256303,-81.066666,31.983334,0.06885
256411,-81.099998,32,0.06885
256526,-97.096664,33.014442,96.55
256655,-82.300003,29.1,7.6
259975,29.116669,28.33333,96.55
260027,1.083333,27.033333,122.3
260037,10.191667,32.916668,114.95
260586,10.75,31.983334,114.95
260604,10.283333,32.950001,114.95
260841,9.05,28.533333,119.25
262171,-4.836939,30.505667,96.55
262343,6.264215,19.225529,159.55
